,1s,1s,1s,2s,2s,2s
,x,y,z,x,y,z
0,,,,,,
13.6,,,,1.4871,1.4986,1.5779
27.21,,,,0.80277,0.80921,0.83661
40.81,,,,0.4826,0.48687,0.49941
54.42,,,,0.31042,0.31345,0.31999
68.02,,,,0.20978,0.212,0.21569
81.63,,,,0.14785,0.14956,0.15174
95.23,,,,0.10809,0.10949,0.11083
108.84,,,,0.081614,0.082735,0.083566
122.44,0.46331,0.47244,0.47164,0.063273,0.064202,0.064717
136.05,0.40288,0.41111,0.4098,0.050134,0.050935,0.051248
149.65,0.35239,0.35982,0.35814,0.040511,0.041174,0.041351
163.26,0.30983,0.31654,0.3146,0.03323,0.033823,0.033909
176.86,0.27375,0.27983,0.27769,0.027685,0.028181,0.028205
190.47,0.24303,0.24853,0.24627,0.023327,0.023778,0.023758
204.07,0.21677,0.22176,0.21942,0.019907,0.02029,0.02024
217.68,0.19422,0.19875,0.19636,0.017136,0.017486,0.017417
231.28,0.17476,0.17888,0.17646,0.014897,0.015204,0.01512
244.89,0.15787,0.16161,0.1592,0.013046,0.01332,0.013227
258.49,0.14312,0.14653,0.14413,0.011496,0.011748,0.011648
272.1,0.13017,0.13327,0.1309,0.010202,0.01042,0.010317
285.7,0.11874,0.12156,0.11923,0.0090819,0.0092877,0.0091827
299.31,0.10861,0.11117,0.10888,0.0081343,0.0083145,0.0082089
312.91,0.099589,0.10192,0.099684,0.0073093,0.0074715,0.0073667
326.52,0.091538,0.093651,0.091473,0.0065847,0.0067374,0.006634
340.12,0.084332,0.086246,0.084127,0.0059636,0.0060948,0.0059933
353.73,0.077865,0.079597,0.077539,0.0054076,0.0055297,0.0054307
367.33,0.072048,0.073612,0.071615,0.0049177,0.0050313,0.0049348
380.94,0.066804,0.068213,0.066278,0.0044928,0.0045899,0.0044962
394.54,0.062064,0.063331,0.061457,0.0041065,0.0041977,0.0041071
408.15,0.05777,0.058905,0.057091,0.0037638,0.0038485,0.0037608
421.75,0.05387,0.054883,0.053129,0.0034646,0.0035365,0.0034518
435.36,0.050318,0.051218,0.049522,0.0031895,0.0032568,0.0031751
448.96,0.047075,0.04787,0.046232,0.002942,0.0030056,0.0029268
462.57,0.044107,0.044806,0.043224,0.0027257,0.0027793,0.0027034
476.17,0.041386,0.041994,0.040467,0.0025263,0.0025749,0.0025019
489.78,0.038885,0.039409,0.037936,0.0023429,0.00239,0.0023198
503.38,0.036582,0.037029,0.035608,0.0021823,0.0022223,0.0021547
516.99,0.034459,0.034833,0.033463,0.0020362,0.0020699,0.0020049
530.59,0.032498,0.032804,0.031483,0.0018984,0.0019311,0.0018686
544.2,0.030684,0.030928,0.029655,0.0017751,0.0018045,0.0017445
557.8,0.029005,0.02919,0.027963,0.0016657,0.0016889,0.0016311
571.41,0.027448,0.027579,0.026396,0.0015622,0.0015829,0.0015274
585.01,0.026002,0.026083,0.024943,0.0014653,0.0014857,0.0014324
598.62,0.024659,0.024692,0.023594,0.00138,0.0013965,0.0013452
612.22,0.023408,0.023397,0.02234,0.0013023,0.0013142,0.001265
625.83,0.022243,0.022191,0.021172,0.0012271,0.0012384,0.0011911
639.43,0.021155,0.021065,0.020084,0.0011576,0.0011683,0.0011228
653.04,0.020139,0.020013,0.019069,0.0010964,0.0011034,0.0010596
666.64,0.019189,0.019029,0.01812,0.0010393,0.0010431,0.0010011
680.25,0.018298,0.018107,0.017232,0.0009833,0.00098708,0.00094673
693.85,0.017463,0.017243,0.0164,0.00093162,0.00093498,0.00089618
