,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,
13.6,,,,,,,,,,0.41216,0.40946,0.22957,0.41225,0.40784,0.16394
27.21,,,,,,,,,,0.29258,0.29342,0.26844,0.42268,0.41931,0.26994
40.81,,,,,,,,,,0.33354,0.33503,0.33343,0.34265,0.3403,0.25107
54.42,,,,,,,,,,0.29268,0.29409,0.29685,0.26693,0.26528,0.20911
68.02,,,,,,,,,,0.23616,0.23737,0.24052,0.21012,0.20894,0.17137
81.63,,,,,,,,,,0.18763,0.18886,0.19163,0.16911,0.16825,0.14177
95.23,,,,,,,,,,0.14996,0.15115,0.15345,0.13895,0.13832,0.11887
108.84,,,,2.4158,2.4422,2.4697,,,,0.1213,0.12216,0.12403,0.11609,0.11563,0.10092
122.44,,,,2.1136,2.1383,2.1616,,,,0.09892,0.099819,0.10132,0.09838,0.098042,0.086632
136.05,,,,1.8533,1.8762,1.8958,,,,0.081803,0.082562,0.083771,0.084445,0.084208,0.075178
149.65,,,,1.6322,1.6532,1.6697,,,,0.068519,0.069186,0.070159,0.073377,0.073213,0.065934
163.26,,,,1.4449,1.4642,1.4781,0.24369,0.24433,0.22743,0.058047,0.05869,0.059484,0.064475,0.064369,0.058405
176.86,,,,1.2854,1.3033,1.315,0.22907,0.22985,0.21465,0.049782,0.050323,0.050968,0.057205,0.057149,0.05219
190.47,,,,1.1481,1.1649,1.1746,0.21567,0.21658,0.20286,0.042983,0.043512,0.044043,0.051169,0.051148,0.046976
204.07,,,,1.0289,1.0447,1.0528,0.2033,0.20433,0.1919,0.037411,0.037882,0.038316,0.046061,0.046076,0.042529
217.68,,,,0.92475,0.93966,0.94635,0.19181,0.19294,0.18165,0.032737,0.03316,0.033518,0.041684,0.041723,0.038682
231.28,,,,0.83356,0.84767,0.85314,0.18111,0.18232,0.17204,0.028745,0.029174,0.029465,0.037889,0.037948,0.035321
244.89,,,,0.75365,0.76699,0.7714,0.17114,0.17244,0.16305,0.025448,0.025784,0.026024,0.03457,0.03465,0.032364
258.49,,,,0.68359,0.69617,0.69965,0.1619,0.16326,0.15466,0.022513,0.022893,0.023088,0.031662,0.031755,0.029753
272.1,,,,0.622,0.63381,0.63651,0.15334,0.15476,0.14686,0.020121,0.020415,0.020573,0.029098,0.029203,0.02744
285.7,,,,0.56766,0.57872,0.58073,0.14542,0.14689,0.13961,0.017979,0.01828,0.018408,0.026829,0.026947,0.025385
299.31,,,,0.51946,0.5298,0.53122,0.13809,0.1396,0.13287,0.016139,0.016432,0.016534,0.024819,0.024944,0.023553
312.91,,,,0.47647,0.48613,0.48705,0.13128,0.13281,0.12658,0.014591,0.014821,0.014902,0.023024,0.023156,0.021911
326.52,,,,0.43795,0.447,0.44747,0.12494,0.12649,0.12071,0.01315,0.013412,0.013474,0.021413,0.021553,0.020435
340.12,,,,0.40329,0.4118,0.41189,0.11901,0.12058,0.1152,0.011949,0.012175,0.012221,0.019964,0.02011,0.0191
353.73,,,,0.37204,0.38006,0.37983,0.11345,0.11504,0.11002,0.010889,0.011083,0.011116,0.018655,0.018804,0.017889
367.33,,,,0.34381,0.35141,0.35089,0.10823,0.10984,0.10515,0.0098978,0.010118,0.01014,0.017466,0.017619,0.016787
380.94,,,,0.31827,0.3255,0.32473,0.10332,0.10494,0.10055,0.009081,0.009263,0.0092743,0.016383,0.016541,0.015781
394.54,,,,0.29515,0.30204,0.30106,0.098706,0.10034,0.096225,0.0083402,0.0085015,0.0085051,0.015399,0.015558,0.014862
408.15,,,,0.27421,0.28077,0.2796,0.094376,0.096018,0.092153,0.0076408,0.0078231,0.0078195,0.0145,0.01466,0.014021
421.75,,,,0.25516,0.26141,0.26009,0.090304,0.091953,0.088314,0.0070634,0.0072154,0.0072053,0.013674,0.013837,0.013249
435.36,,,,0.23784,0.24378,0.24232,0.086481,0.088134,0.084701,0.0065376,0.0066686,0.0066538,0.012919,0.013083,0.012539
448.96,,,,0.22205,0.22768,0.2261,0.082887,0.084541,0.081297,0.0060258,0.0061758,0.0061566,0.012225,0.012388,0.011885
462.57,,,,0.20759,0.21292,0.21124,0.079502,0.081153,0.078083,0.0055963,0.0057294,0.0057061,0.011584,0.011748,0.01128
476.17,,,,0.19435,0.19938,0.19762,0.076311,0.077958,0.075047,0.0052161,0.0053234,0.0052972,0.01099,0.011155,0.010719
489.78,,,,0.18219,0.18692,0.18509,0.073296,0.074935,0.072171,0.004833,0.0049535,0.0049248,0.01044,0.010604,0.010197
503.38,,,,0.171,0.17545,0.17356,0.070443,0.072073,0.069443,0.0044962,0.004616,0.0045848,0.0099289,0.010092,0.0097109
516.99,,,,0.16068,0.16486,0.16293,0.06774,0.069359,0.066854,0.0042136,0.004307,0.0042738,0.0094514,0.0096135,0.0092564
530.59,,,,0.15115,0.15509,0.15312,0.065176,0.066782,0.064393,0.0039304,0.0040234,0.003989,0.0090041,0.0091662,0.0088306
544.2,,,,0.14235,0.14605,0.14405,0.062741,0.064333,0.062052,0.003659,0.0037635,0.0037277,0.008586,0.0087471,0.0084313
557.8,,,,0.1342,0.13769,0.13568,0.060429,0.062007,0.059825,0.0034363,0.0035247,0.0034877,0.0081952,0.0083543,0.0080564
571.41,,,,0.12664,0.12995,0.12792,0.058233,0.059797,0.057707,0.0032323,0.0033047,0.0032671,0.0078281,0.0079856,0.0077041
585.01,,,,0.11963,0.12277,0.12074,0.056145,0.057695,0.055691,0.0030205,0.003102,0.0030639,0.0074824,0.0076391,0.0073727
598.62,,,,0.11311,0.1161,0.11406,0.054161,0.055696,0.053773,0.0028318,0.0029153,0.0028766,0.0071578,0.0073135,0.0070609
612.22,,,,0.10705,0.1099,0.10786,0.052274,0.053795,0.051947,0.0026773,0.0027427,0.0027037,0.0068537,0.0070072,0.0067672
625.83,,,,0.1014,0.10412,0.10209,0.050481,0.051988,0.050209,0.0025244,0.0025829,0.0025438,0.0065677,0.0067189,0.0064906
639.43,,,,0.096133,0.098726,0.096703,0.04877,0.050262,0.048549,0.0023667,0.0024349,0.0023958,0.006297,0.0064467,0.0062293
653.04,,,,0.091219,0.093689,0.091676,0.047141,0.048619,0.046966,0.0022321,0.0022979,0.0022587,0.0060416,0.0061901,0.0059826
666.64,,,,0.086631,0.088979,0.086979,0.045587,0.04705,0.045454,0.0021203,0.0021706,0.0021316,0.005801,0.0059478,0.0057495
680.25,,,,0.082341,0.084568,0.082583,0.044103,0.04555,0.044008,0.0020048,0.0020521,0.0020135,0.0055742,0.0057184,0.0055287
693.85,,,,0.078331,0.080436,0.078469,0.042686,0.044117,0.042625,0.0018862,0.0019421,0.0019037,0.0053596,0.0055015,0.0053197
707.46,,,,0.074577,0.07656,0.074612,0.041331,0.042744,0.0413,0.0017867,0.0018398,0.0018016,0.0051555,0.0052959,0.0051215
721.06,,,,0.071061,0.072923,0.070996,0.040035,0.04143,0.04003,0.0017043,0.0017444,0.0017066,0.004962,0.005101,0.0049335
734.67,,,,0.067762,0.069506,0.067601,0.038794,0.04017,0.038812,0.0016181,0.0016553,0.001618,0.0047791,0.004916,0.0047549
748.27,,,,0.064667,0.066295,0.064414,0.037606,0.038963,0.037645,0.0015278,0.0015722,0.0015353,0.004606,0.0047405,0.0045853
761.88,,,,0.061757,0.063275,0.061418,0.036468,0.037806,0.036525,0.0014511,0.0014947,0.0014581,0.0044414,0.0045737,0.0044241
775.48,,,,0.059018,0.060431,0.0586,0.035378,0.036696,0.03545,0.0013893,0.0014221,0.001386,0.0042845,0.0044152,0.0042709
789.09,,,,0.056436,0.05775,0.055946,0.034333,0.035631,0.034419,0.0013259,0.0013539,0.0013184,0.0041352,0.0042644,0.004125
802.69,,,,0.054,0.055223,0.053445,0.033332,0.034609,0.033429,0.0012564,0.00129,0.0012551,0.0039938,0.004121,0.0039863
816.3,,,,0.051697,0.052836,0.051086,0.032371,0.033629,0.032479,0.0011943,0.0012301,0.0011956,0.0038597,0.0039845,0.0038541
829.9,,,,0.049518,0.050581,0.048859,0.031449,0.032687,0.031566,0.0011459,0.0011738,0.0011398,0.0037318,0.0038544,0.003728
843.51,,,,0.047454,0.048447,0.046754,0.030564,0.031782,0.030689,0.0010997,0.0011206,0.0010872,0.0036094,0.0037303,0.0036078
