,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,27.852,27.668,25.406,,,,,,,0.034819,0.03492,0.019119
27.21,,,,,,,,,,,,,,,,26.545,26.378,24.744,,,,,,,0.040359,0.040119,0.032153
40.81,,,,,,,,,,,,,,,,10.044,9.9918,9.1528,,,,,,,0.034852,0.034663,0.03029
54.42,,,,,,,,,,,,,,,,2.9522,2.9344,2.5384,0.46626,0.46678,0.39371,,,,0.02948,0.029299,0.026603
68.02,,,,,,,,,,,,,,,,0.76677,0.7574,0.56683,0.44033,0.44052,0.35325,,,,0.02469,0.024653,0.022868
81.63,,,,,,,,,,,,,,,,0.2181,0.21579,0.1228,0.42818,0.42827,0.34055,0.20463,0.20475,0.19571,0.020607,0.020724,0.019493
95.23,,,,,,,,,,,,,,,,0.15059,0.15373,0.1083,0.41846,0.41859,0.336,0.18927,0.18946,0.182,0.017548,0.017494,0.016614
108.84,,,,,,,,,,,,,,,,0.20782,0.21201,0.19137,0.40761,0.40783,0.3324,0.17502,0.17527,0.16905,0.014927,0.014895,0.014239
122.44,,,,,,,,,,,,,,,,0.28222,0.28502,0.27778,0.39492,0.39525,0.32735,0.16213,0.16243,0.1572,0.012729,0.012801,0.012307
136.05,,,,,,,,,,,,,,,,0.33776,0.34341,0.34355,0.38096,0.38143,0.32064,0.15055,0.15089,0.14646,0.011195,0.011124,0.010739
149.65,,,,,,,,,,,,,,,,0.37491,0.38261,0.38649,0.3664,0.36699,0.31263,0.14014,0.14052,0.13673,0.009682,0.0097644,0.0094603
163.26,,,,,,,,,,,,,,,,0.4013,0.4048,0.41067,0.35153,0.35224,0.30358,0.13063,0.13105,0.12779,0.008705,0.0086484,0.0084039
176.86,,,,,,,,,,,,,,,,0.41005,0.41406,0.42108,0.33669,0.33752,0.29388,0.12195,0.1224,0.11958,0.0076491,0.0077246,0.0075257
190.47,,,,,,,,,,,,,,,,0.4062,0.41433,0.42165,0.32193,0.32285,0.28365,0.11397,0.11444,0.11199,0.0069923,0.0069503,0.006786
204.07,,,,,,,,,,,,,,,,0.4019,0.40812,0.41527,0.30747,0.30849,0.27319,0.10668,0.10717,0.10504,0.0062348,0.0062972,0.0061614
217.68,,,,,,,,,,,,,,,,0.39458,0.397,0.40398,0.29339,0.29448,0.26264,0.10001,0.10052,0.098651,0.0057577,0.0057431,0.0056276
231.28,,,,,,,,,,,,,,,,0.37848,0.38271,0.38944,0.27985,0.28103,0.25222,0.093945,0.094465,0.092823,0.0052381,0.0052658,0.0051696
244.89,,,,,,,,,,,,,,,,0.3592,0.36664,0.37286,0.26694,0.26818,0.24206,0.088414,0.088948,0.087496,0.0048228,0.0048564,0.0047724
258.49,,,,,,,,,,,,,,,,0.34389,0.34969,0.35532,0.25473,0.25603,0.23227,0.08337,0.083915,0.082627,0.0045106,0.0044959,0.004425
272.1,,,,,,,,,,,,,,,,0.32996,0.33227,0.33746,0.24317,0.24452,0.22285,0.078743,0.079299,0.078151,0.0041172,0.0041792,0.0041173
285.7,,,,,,,,,,,,,,,,0.31235,0.31496,0.31981,0.2323,0.2337,0.21387,0.074503,0.075067,0.07404,0.003906,0.0038975,0.0038431
299.31,,,,,,,1.9932,2.0256,2.0458,,,,,,,0.2927,0.29825,0.30268,0.22202,0.22346,0.20527,0.070579,0.07115,0.070229,0.0036182,0.0036419,0.0035955
312.91,,,,,,,1.8972,1.9286,1.947,,,,,,,0.276,0.28214,0.28607,0.21228,0.21375,0.19703,0.066942,0.06752,0.06669,0.003366,0.0034124,0.0033705
326.52,,,,,,,1.8068,1.8372,1.854,,,,,,,0.26321,0.26671,0.27023,0.20309,0.20459,0.18918,0.063573,0.064155,0.063407,0.003215,0.003202,0.0031653
340.12,,,,,,,1.7211,1.7504,1.7656,,,,,,,0.25041,0.25187,0.25511,0.19435,0.19588,0.18165,0.060434,0.061021,0.060343,0.002969,0.0030089,0.002977
353.73,,,,,,,1.6398,1.6681,1.6819,,,,,,,0.23526,0.23778,0.24076,0.18609,0.18763,0.17447,0.05752,0.05811,0.057494,0.0027997,0.0028335,0.0028042
